Date,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2024-07-25,39.33925247,0,39.77999878,0,43.70000076,37.38999939,41.50999832,0,143325900
2024-07-26,41.45553589,0,41.91999817,0,43,40.70999908,42.24000168,0,82759200
2024-07-29,41.34676361,0,41.81000137,0,45,41.25999832,43.36999893,0,80788400
2024-07-30,36.82739639,0,37.24000168,0,42.66999817,36.77999878,42.38000107,0,108596000
2024-07-31,43.89817429,0,44.38999939,0,44.75999832,41.41999817,42.29999924,0,96880500
2024-08-01,34.61221313,0,35,0,43.41999817,33.41999817,42.04999924,0,163864400
2024-08-02,29.0149231,0,29.34000015,0,31.59000015,28.13999939,30.55999947,0,198233900
2024-08-05,27.58098984,0,27.88999939,0,30.14999962,23.5,23.52000046,0,220042200
2024-08-06,28.26334381,0,28.57999992,0,30.79999924,27.17000008,28.60000038,0,137309500
2024-08-07,25.92949104,0,26.21999931,0,31.94000053,25.94000053,31.31999969,0,146256500
2024-08-08,31.11143494,0,31.45999908,0,31.60000038,26.87000084,28.56999969,0,149988600
2024-08-09,30.66641998,0,31.01000023,0,31.79000092,29.57999992,30.70999908,0,96949800
2024-08-12,31.06198692,0,31.40999985,0,32.59000015,30.22999954,31.11000061,0,89135100
2024-08-13,34.88911057,0,35.27999878,0,35.43000031,32.18999863,32.65999985,0,103380000
2024-08-14,34.66165924,0,35.04999924,0,36.63999939,33.27000046,36.18000031,0,112421600
2024-08-15,39.47770309,0,39.91999817,0,40.47000122,36.86000061,37.34999847,0,107522700
2024-08-16,39.28980637,0,39.72999954,0,40.22999954,38.06999969,38.79000092,0,82364600
2024-08-19,41.13908386,0,41.59999847,0,41.75,37.88999939,39.27999878,0,77684200
2024-08-20,39.64582062,0,40.09000015,0,41.91999817,39.09999847,41.04999924,0,83644600
2024-08-21,41.26764679,0,41.72999954,0,42.36000061,40.33000183,40.75,0,83611500
2024-08-22,37.09440231,0,37.50999832,0,42.88000107,37.11000061,42.50999832,0,107889900
2024-08-23,39.95238113,0,40.40000153,0,41.20999908,38.59000015,39.15999985,0,87128100
2024-08-26,36.95595551,0,37.36999893,0,40.29000092,36.90999985,39.75,0,86603000
2024-08-27,38.06354904,0,38.49000168,0,38.97000122,35.52000046,36.50999832,0,74033300
2024-08-28,36.19448853,0,36.59999847,0,38.86000061,35.29000092,38.09000015,0,101998500
2024-08-29,35.78902435,0,36.18999863,0,38.93000031,35.63000107,37.06000137,0,97333200
2024-08-30,38.36022568,0,38.79000092,0,39.22000122,37.06000137,38.68000031,0,85280800
2024-09-03,29.73683548,0,30.06999969,0,36.81000137,29.39999962,36.79999924,0,140077900
2024-09-04,29.9642868,0,30.29999924,0,31.69000053,28.72999954,29.06999969,0,108759900
2024-09-05,29.42038155,0,29.75,0,31.20000076,28.82999992,29.04999924,0,100075900
2024-09-06,25.67237091,0,25.95999908,0,29.17000008,25.5,29.11000061,0,156147600
2024-09-09,27.12608719,0,27.43000031,0,27.72999954,26.14999962,27.18000031,0,84474500
2024-09-10,28.03589249,0,28.35000038,0,28.38999939,26.23999977,27.54000092,0,81557500
2024-09-11,31.86301231,0,32.22000122,0,32.41999817,27.07999992,28.88999939,0,143140900
2024-09-12,31.45755577,0,31.80999947,0,32.68999863,30.35000038,31.75,0,98895800
2024-09-13,33.05961227,0,33.43000031,0,33.72000122,32.36000061,32.52000046,0,78147300
2024-09-16,31.80368233,0,32.15999985,0,32.63999939,30.84000015,32.02999878,0,79670100
2024-09-17,31.80368233,0,32.15999985,0,33.56000137,31.36000061,33.31000137,0,86913700
2024-09-18,30.7949791,0,31.13999939,0,34,31.04999924,32.54000092,0,113735500
2024-09-19,34.73088455,0,35.11999893,0,36.43999863,33.88000107,34.68000031,0,123984300
2024-09-20,33.17827988,0,33.54999924,0,34.40000153,32.04000092,34.04999924,0,108589600
2024-09-23,33.54417801,0,33.91999817,0,34.38000107,33.18999863,33.97000122,0,59731600
