Date,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-05-26,14.4464941,0,15.15999985,0,15.39000034,13.84000015,13.88000011,0,337131600
2022-05-27,15.86160278,0,16.64500046,0,16.67000008,15.63500023,15.64999962,0,315035800
2022-05-31,15.74725056,0,16.52499962,0,17,15.86499977,16.64999962,0,369158600
2022-06-01,15.38037014,0,16.13999939,0,17.21500015,15.77499962,16.85499954,0,398894200
2022-06-02,16.62871552,0,17.45000076,0,17.48999977,15.72500038,15.96000004,0,336861400
2022-06-03,15.31366444,0,16.06999969,0,16.81500053,15.88000011,16.56999969,0,324723800
2022-06-06,15.50425339,0,16.27000046,0,17.06500053,16,16.80999947,0,300958600
2022-06-07,15.8806591,0,16.66500092,0,16.79999924,15.52499962,15.71000004,0,274886600
2022-06-08,15.55666447,0,16.32500076,0,16.96999931,16.16500092,16.54000092,0,225706000
2022-06-09,14.289258,0,14.99499989,0,16.53000069,14.96500015,16.03499985,0,275959400
2022-06-10,12.76456451,0,13.39500046,0,14.31000042,13.33500004,14.13000011,0,343352200
2022-06-13,10.99686909,0,11.53999996,0,12.48999977,11.40999985,12.13500023,0,426731400
2022-06-14,11.06833935,0,11.61499977,0,11.93500042,11.26000023,11.81999969,0,393201000
2022-06-15,11.86404037,0,12.44999981,0,12.96000004,11.67000008,12.02999973,0,549823000
2022-06-16,10.41557884,0,10.93000031,0,11.56000042,10.65999985,11.49499989,0,424284400
2022-06-17,10.80151939,0,11.33500004,0,11.64000034,10.82499981,11.03499985,0,441181000
2022-06-21,11.61627674,0,12.18999958,0,12.48999977,11.89000034,11.90999985,0,318408200
2022-06-22,11.57339478,0,12.14500046,0,12.72500038,11.77499962,11.85499954,0,388973600
2022-06-23,12.06891918,0,12.66499996,0,12.78499985,12.08500004,12.47000027,0,365372800
2022-06-24,13.33155823,0,13.98999977,0,14.02000046,13.02499962,13.05500031,0,303635000
2022-06-27,13.01708984,0,13.65999985,0,14.25,13.5,14.17500019,0,338262000
2022-06-28,11.83068657,0,12.41499996,0,14.10499954,12.38000011,13.72999954,0,373741600
2022-06-29,11.85451126,0,12.43999958,0,12.64500046,12.05000019,12.39000034,0,380182200
2022-06-30,11.43521881,0,12,0,12.44499969,11.375,12.02999973,0,512407800
2022-07-01,11.6210413,0,12.19499969,0,12.25,11.55000019,11.80000019,0,417200800
2022-07-05,12.22139168,0,12.82499981,0,12.84000015,11.5,11.70499992,0,441108000
2022-07-06,12.45485973,0,13.06999969,0,13.35999966,12.64000034,12.88500023,0,412245800
2022-07-07,13.22673798,0,13.88000011,0,14,13.18500042,13.18999958,0,275732600
2022-07-08,13.28867626,0,13.94499969,0,14.15499973,13.35499954,13.49499989,0,319458400
2022-07-11,12.44056511,0,13.05500031,0,13.63500023,12.93000031,13.60000038,0,258448200
2022-07-12,12.07844925,0,12.67500019,0,13.48999977,12.45499992,13.22000027,0,319233000
2022-07-13,12.00221443,0,12.59500027,0,12.91499996,11.84500027,11.92000008,0,361151000
2022-07-14,12.12609673,0,12.72500038,0,12.84000015,11.81000042,12.23499966,0,351647000
2022-07-15,12.76456451,0,13.39500046,0,13.42500019,12.90499973,13.13500023,0,308760400
2022-07-18,12.46915245,0,13.08500004,0,14,12.90999985,13.80500031,0,319900400
2022-07-19,13.56026268,0,14.22999954,0,14.31000042,13.34500027,13.57499981,0,298643400
2022-07-20,14.24161053,0,14.94499969,0,15.125,14.22000027,14.32999992,0,377126200
2022-07-21,14.84672451,0,15.57999992,0,15.59000015,14.60999966,15.00500011,0,319381800
2022-07-22,14.07008362,0,14.76500034,0,15.76500034,14.47500038,15.43999958,0,298800800
2022-07-25,13.86043835,0,14.54500008,0,14.83500004,14.20499992,14.76500034,0,220897600
2022-07-26,13.0218544,0,13.66499996,0,14.28499985,13.52499962,14.24499989,0,231755600
2022-07-27,14.64660931,0,15.36999989,0,15.625,14.21500015,14.30000019,0,341919000
2022-07-28,15.06590271,0,15.81000042,0,15.90999985,14.76000023,15.34000015,0,324071800
2022-07-29,15.89495373,0,16.68000031,0,16.82500076,15.83500004,16.06500053,0,292146400
2022-08-01,15.87112904,0,16.65500069,0,17.20999908,16.21999931,16.38999939,0,285283000
2022-08-02,15.72342587,0,16.5,0,17.17499924,16.10499954,16.27000046,0,325375000
2022-08-03,16.98129845,0,17.81999969,0,17.97500038,16.65500069,16.77499962,0,294213800
2022-08-04,17.22429657,0,18.07500076,0,18.13500023,17.47999954,17.84499931,0,253567200
2022-08-05,16.81453323,0,17.64500046,0,17.98999977,17.07500076,17.21500015,0,283898600
2022-08-08,16.64300728,0,17.46500015,0,18.41500092,17.21999931,17.79999924,0,267787800
2022-08-09,16.07124519,0,16.86499977,0,17.18499947,16.59499931,17.13999939,0,218406000
2022-08-10,17.39106178,0,18.25,0,18.31999969,17.65500069,18.06999969,0,271554400
2022-08-11,17.12900925,0,17.97500038,0,19.01000023,17.83499908,18.66500092,0,273361000
2022-08-12,18.09623337,0,18.98999977,0,19.02499962,18.12000084,18.29999924,0,211187000
2022-08-15,18.52981758,0,19.44499969,0,19.54000092,18.81999969,18.82500076,0,196308400
2022-08-16,18.41070366,0,19.31999969,0,19.69000053,18.76499939,19.28000069,0,220755800
2022-08-17,17.77223396,0,18.64999962,0,19.16500092,18.27499962,18.75499916,0,262838400
2022-08-18,17.89135361,0,18.77499962,0,18.97999954,18.34499931,18.62999916,0,192140800
2022-08-19,16.84312439,0,17.67499924,0,18.35000038,17.53499985,18.23999977,0,224256600
